FIPS,State,Median_Household_Income_2018,transit_scores - population weighted averages aggregated from town/city level to county,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
25000,MA,79817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25001,MA,69001.0,1293541598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,5.0,9.0,11.0,24.0,40.0,51.0,67.0,100.0,133.0,148.0,173.0,191.0,255.0,283.0,314.0,330.0,347.0,383.0,405.0,423.0,444.0,464.0,480.0,501.0
25003,MA,58375.0,2416376672.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,14.0,17.0,18.0,20.0,21.0,23.0,37.0,71.0,73.0,105.0,119.0,151.0,162.0,171.0,183.0,213.0,240.0,253.0,258.0,268.0,278.0,281.0,304.0,329.0,336.0,350.0
25005,MA,66005.0,3342404675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,5.0,6.0,6.0,14.0,24.0,31.0,67.0,90.0,129.0,179.0,208.0,263.0,306.0,366.0,424.0,517.0,601.0,659.0,722.0,768.0,835.0,994.0,1086.0,1191.0,1327.0
25007,MA,70224.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25009,MA,76373.0,4591172564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,5.0,8.0,8.0,14.0,19.0,29.0,41.0,60.0,118.0,177.0,247.0,350.0,472.0,570.0,653.0,784.0,885.0,1039.0,1238.0,1400.0,1506.0,1653.0,1841.0,2103.0,2336.0,2670.0,2896.0,3170.0
25011,MA,58992.0,2217250563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,10.0,14.0,16.0,24.0,39.0,41.0,49.0,61.0,72.0,85.0,89.0,95.0,100.0,107.0,118.0,117.0,128.0,135.0,138.0,143.0
25013,MA,52682.0,5374781104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,9.0,12.0,24.0,45.0,55.0,90.0,183.0,201.0,255.0,354.0,475.0,546.0,661.0,733.0,768.0,889.0,997.0,1081.0,1276.0,1394.0,1545.0,1647.0
25015,MA,74456.0,472790148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,8.0,11.0,17.0,20.0,30.0,37.0,46.0,69.0,81.0,102.0,114.0,125.0,128.0,147.0,158.0,164.0,177.0,194.0,204.0,219.0
25017,MA,100374.0,7094244108.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,15.0,41.0,49.0,60.0,65.0,65.0,83.0,89.0,100.0,119.0,144.0,177.0,199.0,304.0,446.0,538.0,685.0,842.0,981.0,1141.0,1340.0,1582.0,1870.0,2202.0,2468.0,2632.0,2950.0,3187.0,3545.0,4045.0,4447.0,4872.0,5660.0
25019,MA,97525.0,1023550196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25021,MA,100184.0,5636638649.0,1.0,1.0,1.0,2.0,2.0,6.0,6.0,10.0,22.0,24.0,24.0,28.0,28.0,36.0,43.0,45.0,52.0,64.0,69.0,75.0,129.0,222.0,292.0,393.0,490.0,548.0,628.0,738.0,829.0,938.0,1045.0,1199.0,1271.0,1382.0,1592.0,1778.0,2007.0,2216.0,2395.0,2649.0
25023,MA,89678.0,4732070372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,11.0,20.0,25.0,64.0,101.0,138.0,187.0,272.0,325.0,380.0,459.0,561.0,621.0,745.0,898.0,963.0,1067.0,1194.0,1327.0,1507.0,1677.0,1809.0,2024.0
25025,MA,68743.0,9194202251.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,10.0,20.0,22.0,26.0,27.0,27.0,36.0,42.0,51.0,72.0,86.0,108.0,126.0,234.0,342.0,448.0,631.0,843.0,940.0,1115.0,1373.0,1624.0,1896.0,2183.0,2429.0,2658.0,2929.0,3245.0,3600.0,4041.0,4534.0,4926.0,5359.0
25027,MA,71767.0,4411762879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,8.0,10.0,14.0,19.0,24.0,37.0,73.0,129.0,166.0,219.0,291.0,337.0,390.0,433.0,563.0,667.0,825.0,915.0,978.0,1077.0,1172.0,1296.0,1461.0,1678.0,1822.0,2032.0
